Input provided to the model,Whether the prediction is correct (true/false),Expected if condition,Predicted if condition,Prediction score (0-100)
"def read(self, where=None, columns=None, start: int | None=None, stop: int | None=None) -> Series:
    is_multi_index = self.is_multi_index
    if <MASK>:
        assert isinstance(self.levels, list)
        for n in self.levels:
            if n not in columns:
                columns.insert(0, n)
    s = super().read(where=where, columns=columns, start=start, stop=stop)
    if is_multi_index:
        s.set_index(self.levels, inplace=True)
    s = s.iloc[:, 0]
    if s.name == 'values':
        s.name = None
    return s",False,columns is not None and is_multi_index,s is None,61.0
"def show():
    """"""Function triggered by show command.""""""
    if _SMCLI_ALL.value:
        _show_all(_SMCLI_DIR.value)
    elif _SMCLI_TAG_SET.value is None:
        if <MASK>:
            print('--list_ops must be paired with a tag-set or with --all.')
        _show_tag_sets(_SMCLI_DIR.value)
    else:
        if _SMCLI_LIST_OPS.value:
            _show_ops_in_metagraph(_SMCLI_DIR.value, _SMCLI_TAG_SET.value)
        if _SMCLI_SIGNATURE_DEF.value is None:
            _show_signature_def_map_keys(_SMCLI_DIR.value, _SMCLI_TAG_SET.value)
        else:
            _show_inputs_outputs(_SMCLI_DIR.value, _SMCLI_TAG_SET.value, _SMCLI_SIGNATURE_DEF.value)",False,_SMCLI_LIST_OPS.value,value is None,66.77
"@register_graph_pattern(CallFunction(torch.cat, getitem_split, dim=Ignored(), _users=MULTIPLE), pass_dict=construct_pattern_matcher_pass('merge_getitem_cat_pass'))
def merge_getitem_cat(match: Match, split_sections: list[int], dim: int):
    if not isinstance(split_sections, (list, tuple)):
        return
    graph = match.graph
    split_node = next((node for node in match.nodes if node.target == torch.split))
    (split_input, _split_size, split_dim) = _get_split_args_default(split_node)
    next_users = find_next_users(split_node)
    split_sections = list(split_sections)
    for cat_user in next_users:
        if cat_user.target == torch.cat:
            cat_dim = get_arg_value(cat_user, 1, 'dim')
            if split_dim != cat_dim or not has_same_parent_node(cat_user) or (not all((len(arg.users) == 1 for arg in cat_user.args[0]))):
                continue
            indices = [arg.args[1] for arg in cat_user.args[0]]
            if <MASK>:
                continue
            cat_user.update_arg(0, cat_user.args[0][0])
            fused_tensor_size = 0
            for i in range(len(split_node.args[1])):
                if i in indices:
                    fused_tensor_size += split_node.args[1][i]
            split_sections[indices[0]] = calculate_fused_tensor_size(split_node, indices)
            for i in indices[1:]:
                split_sections[i] = 0
            (new_split_sections, index_mapping) = remove_zeros(split_sections)
            with graph.inserting_after(split_node):
                new_split_node = graph.call_function(torch.split, args=(split_input, split_sections), kwargs={'dim': split_dim})
                split_node.replace_all_uses_with(new_split_node)
                new_split_node.meta.update(split_node.meta)
                to_remove = [cat_user]
                new_split_getitem_nodes = list(new_split_node.users.keys())
                for getitem_node in new_split_getitem_nodes:
                    if getitem_node.args[1] in indices[1:]:
                        to_remove.append(getitem_node)
                    elif getitem_node.args[1] == indices[0]:
                        cat_user.replace_all_uses_with(getitem_node)
                        getitem_node.meta.update(cat_user.meta)
                    else:
                        getitem_node.update_arg(1, index_mapping[getitem_node.args[1]])
                graph.erase_node(split_node)
                for getitem_node in to_remove:
                    graph.erase_node(getitem_node)
                new_split_node.update_arg(1, new_split_sections)
                split_node = new_split_node
                split_sections = new_split_sections
                counters[backend]['merge_getitem_cat_pass'] += 1",False,not is_sorted_and_consecutive(indices),len ( args ) == 1,58.74
"@_fit_context(prefer_skip_nested_validation=False)
def fit(self, X, y, **fit_params):
    """"""Fit underlying estimators.

        Parameters
        ----------
        X : {array-like, sparse matrix} of shape (n_samples, n_features)
            Data.

        y : array-like of shape (n_samples,)
            Multi-class targets.

        **fit_params : dict
            Parameters passed to the ``estimator.fit`` method of each
            sub-estimator.

            .. versionadded:: 1.4
                Only available if `enable_metadata_routing=True`. See
                :ref:`Metadata Routing User Guide <metadata_routing>` for more
                details.

        Returns
        -------
        self : object
            Returns a fitted instance of self.
        """"""
    _raise_for_params(fit_params, self, 'fit')
    routed_params = process_routing(self, 'fit', **fit_params)
    y = validate_data(self, X='no_validation', y=y)
    random_state = check_random_state(self.random_state)
    check_classification_targets(y)
    self.classes_ = np.unique(y)
    n_classes = self.classes_.shape[0]
    if n_classes == 0:
        raise ValueError('OutputCodeClassifier can not be fit when no class is present.')
    n_estimators = int(n_classes * self.code_size)
    self.code_book_ = random_state.uniform(size=(n_classes, n_estimators))
    self.code_book_[self.code_book_ > 0.5] = 1.0
    if hasattr(self.estimator, 'decision_function'):
        self.code_book_[self.code_book_ != 1] = -1.0
    else:
        self.code_book_[self.code_book_ != 1] = 0.0
    classes_index = {c: i for (i, c) in enumerate(self.classes_)}
    Y = np.array([self.code_book_[classes_index[y[i]]] for i in range(_num_samples(y))], dtype=int)
    self.estimators_ = Parallel(n_jobs=self.n_jobs)((delayed(_fit_binary)(self.estimator, X, Y[:, i], fit_params=routed_params.estimator.fit) for i in range(Y.shape[1])))
    if hasattr(self.estimators_[0], 'n_features_in_'):
        self.n_features_in_ = self.estimators_[0].n_features_in_
    if <MASK>:
        self.feature_names_in_ = self.estimators_[0].feature_names_in_
    return self",False,"hasattr(self.estimators_[0], 'feature_names_in_')","hasattr ( self , ' _ ')",40.26
"@functools.cache
def try_import_cutlass() -> bool:
    """"""
    We want to support three ways of passing in CUTLASS:
    1. fbcode, handled by the internal build system.
    2. User specifies cutlass_dir. The default is ../third_party/cutlass/,
       which is the directory when developers build from source.
    """"""
    if config.is_fbcode():
        try:
            import cutlass_cppgen
            import cutlass_library
        except ImportError as e:
            log.warning('Failed to import CUTLASS packages in fbcode: %s, ignoring the CUTLASS backend.', str(e))
            return False
        return True

    def path_join(path0, path1):
        return os.path.abspath(os.path.join(path0, path1))
    cutlass_python_path = path_join(config.cuda.cutlass_dir, 'python')
    torch_root = os.path.abspath(os.path.dirname(torch.__file__))
    mock_src_path = os.path.join(torch_root, '_inductor', 'codegen', 'cuda', 'cutlass_lib_extensions', 'cutlass_mock_imports')
    cutlass_library_src_path = path_join(cutlass_python_path, 'cutlass_library')
    cutlass_cppgen_src_path = path_join(cutlass_python_path, 'cutlass_cppgen')
    pycute_src_path = path_join(cutlass_python_path, 'pycute')
    tmp_cutlass_full_path = os.path.abspath(os.path.join(cache_dir(), 'torch_cutlass'))
    dst_link_library = path_join(tmp_cutlass_full_path, 'cutlass_library')
    dst_link_cutlass_cppgen = path_join(tmp_cutlass_full_path, 'cutlass_cppgen')
    dst_link_pycute = path_join(tmp_cutlass_full_path, 'pycute')
    mock_modules = ['cuda', 'scipy', 'pydot']
    if os.path.isdir(cutlass_python_path):
        if tmp_cutlass_full_path not in sys.path:

            def link_and_append(dst_link, src_path, parent_dir):
                if os.path.lexists(dst_link):
                    assert os.path.islink(dst_link), f'{dst_link} is not a symlink. Try to remove {dst_link} manually and try again.'
                    assert os.path.realpath(os.readlink(dst_link)) == os.path.realpath(src_path), f'Symlink at {dst_link} does not point to {src_path}'
                else:
                    os.makedirs(parent_dir, exist_ok=True)
                    os.symlink(src_path, dst_link)
                if <MASK>:
                    sys.path.append(parent_dir)
            link_and_append(dst_link_library, cutlass_library_src_path, tmp_cutlass_full_path)
            link_and_append(dst_link_cutlass_cppgen, cutlass_cppgen_src_path, tmp_cutlass_full_path)
            link_and_append(dst_link_pycute, pycute_src_path, tmp_cutlass_full_path)
            for module in mock_modules:
                link_and_append(path_join(tmp_cutlass_full_path, module), path_join(mock_src_path, module), tmp_cutlass_full_path)
        try:
            import cutlass_cppgen
            import cutlass_library.generator
            import cutlass_library.library
            import cutlass_library.manifest
            import pycute
            return True
        except ImportError as e:
            log.debug('Failed to import CUTLASS packages: %s, ignoring the CUTLASS backend.', str(e))
    else:
        log.debug('Failed to import CUTLASS packages: CUTLASS repo does not exist: %s', cutlass_python_path)
    return False",False,parent_dir not in sys.path,os . path . exists ( path ),57.55
"def process_locale_dir(self, locale_dir, files):
    """"""
        Extract translatable literals from the specified files, creating or
        updating the POT file for a given locale directory.

        Use the xgettext GNU gettext utility.
        """"""
    build_files = []
    for translatable in files:
        if self.verbosity > 1:
            self.stdout.write('processing file %s in %s' % (translatable.file, translatable.dirpath))
        if self.domain not in ('djangojs', 'django'):
            continue
        build_file = self.build_file_class(self, self.domain, translatable)
        try:
            build_file.preprocess()
        except UnicodeDecodeError as e:
            self.stdout.write('UnicodeDecodeError: skipped file %s in %s (reason: %s)' % (translatable.file, translatable.dirpath, e))
            continue
        except BaseException:
            for build_file in build_files:
                build_file.cleanup()
            raise
        build_files.append(build_file)
    if self.domain == 'djangojs':
        args = ['xgettext', '-d', self.domain, '--language=JavaScript', '--keyword=gettext_noop', '--keyword=gettext_lazy', '--keyword=ngettext_lazy:1,2', '--keyword=pgettext:1c,2', '--keyword=npgettext:1c,2,3', '--output=-']
    elif <MASK>:
        args = ['xgettext', '-d', self.domain, '--language=Python', '--keyword=gettext_noop', '--keyword=gettext_lazy', '--keyword=ngettext_lazy:1,2', '--keyword=pgettext:1c,2', '--keyword=npgettext:1c,2,3', '--keyword=pgettext_lazy:1c,2', '--keyword=npgettext_lazy:1c,2,3', '--output=-']
    else:
        return
    input_files = [bf.work_path for bf in build_files]
    with NamedTemporaryFile(mode='w+') as input_files_list:
        input_files_list.write('\n'.join(input_files))
        input_files_list.flush()
        args.extend(['--files-from', input_files_list.name])
        args.extend(self.xgettext_options)
        (msgs, errors, status) = popen_wrapper(args)
    if errors:
        if status != STATUS_OK:
            for build_file in build_files:
                build_file.cleanup()
            raise CommandError('errors happened while running xgettext on %s\n%s' % ('\n'.join(input_files), errors))
        elif self.verbosity > 0:
            self.stdout.write(errors)
    if msgs:
        if locale_dir is NO_LOCALE_DIR:
            for build_file in build_files:
                build_file.cleanup()
            file_path = os.path.normpath(build_files[0].path)
            raise CommandError(""Unable to find a locale path to store translations for file %s. Make sure the 'locale' directory exists in an app or LOCALE_PATHS setting is set."" % file_path)
        for build_file in build_files:
            msgs = build_file.postprocess_messages(msgs)
        potfile = os.path.join(locale_dir, '%s.pot' % self.domain)
        write_pot_file(potfile, msgs)
    for build_file in build_files:
        build_file.cleanup()",False,self.domain == 'django',os . path . exists ( self . path ),52.66
"def _savez(file, args, kwds, compress, allow_pickle=True, pickle_kwargs=None):
    import zipfile
    if not hasattr(file, 'write'):
        file = os.fspath(file)
        if not file.endswith('.npz'):
            file = file + '.npz'
    namedict = kwds
    for (i, val) in enumerate(args):
        key = 'arr_%d' % i
        if key in namedict.keys():
            raise ValueError(f'Cannot use un-named variables and keyword {key}')
        namedict[key] = val
    if <MASK>:
        compression = zipfile.ZIP_DEFLATED
    else:
        compression = zipfile.ZIP_STORED
    zipf = zipfile_factory(file, mode='w', compression=compression)
    try:
        for (key, val) in namedict.items():
            fname = key + '.npy'
            val = np.asanyarray(val)
            with zipf.open(fname, 'w', force_zip64=True) as fid:
                format.write_array(fid, val, allow_pickle=allow_pickle, pickle_kwargs=pickle_kwargs)
    finally:
        zipf.close()",False,compress,"isinstance ( val , ( list , tuple ))",46.88
"def sympy_is_channels_last_strides_generic(sizes, strides, dim_order):
    import sympy
    from torch.utils._sympy.functions import Max
    dim = len(sizes)
    if <MASK>:
        return sympy.false
    m = sympy.S.Zero
    r = sympy.true
    r &= sympy.Ne(strides[1], 0)
    for d in dim_order:
        r &= sympy.Ne(sizes[d], 0) & (strides[d] >= m)
        if d == 0:
            r &= sympy.Ne(m, strides[1])
        m = strides[d] * Max(sizes[d], 1)
    return r",False,dim != len(dim_order),len ( expr ) == 1,46.82
"def _jvp_with_argnums(func: Callable, primals: Any, tangents: Any, argnums: Optional[argnums_t], *, strict: bool=False, has_aux: bool):
    if not isinstance(primals, tuple):
        raise RuntimeError(f'{jvp_str}: Expected primals to be a tuple. E.g. it should be valid to call f(*primals).')
    diff_args = primals if argnums is None else _slice_argnums(primals, argnums)
    (flat_primals, primals_spec) = tree_flatten(diff_args)
    (flat_tangents, tangents_spec) = tree_flatten(tangents)
    if primals_spec != tangents_spec:
        raise RuntimeError(f'{jvp_str}: Expected primals and tangents to have the same python structure. For example, if primals is a tuple of 3 tensors, tangents also must be. Got primals with structure {primals_spec} and tangents with structure {tangents_spec}')
    assert_non_empty_list_of_tensors(flat_primals, jvp_str, 'primals')
    assert_non_empty_list_of_tensors(flat_tangents, jvp_str, 'tangents')
    global JVP_NESTING
    with jvp_increment_nesting() as level:
        with fwAD._set_fwd_grad_enabled(True):
            ctx = fwAD.dual_level if JVP_NESTING == 1 else contextlib.nullcontext
            with ctx():
                flat_duals = tuple((fwAD.make_dual(p, t) for (p, t) in zip(flat_primals, flat_tangents)))
                duals = tree_unflatten(flat_duals, primals_spec)
                if argnums is not None:
                    primals = _wrap_all_tensors(primals, level)
                    duals = _replace_args(primals, duals, argnums)
                result_duals = func(*duals)
                if <MASK>:
                    if not (isinstance(result_duals, tuple) and len(result_duals) == 2):
                        raise RuntimeError(f'{jvp_str}: output of function f should be a tuple: (output, aux) if has_aux is True')
                    (result_duals, aux) = result_duals
                    aux = _undo_create_differentiable(aux, level)
                (result_duals, spec) = tree_flatten(result_duals)
                assert_non_empty_tensor_output(result_duals, jvp_str)
                (primals_out, tangents_out) = zip(*[safe_unpack_dual(dual, strict) for dual in result_duals])
                primals_out = tree_map(partial(_undo_create_differentiable, level=level), primals_out)
                tangents_out = tree_map(partial(_undo_create_differentiable, level=level), tangents_out)
                primals_out_unflatten = tree_unflatten(primals_out, spec)
                tangents_out_unflatten = tree_unflatten(tangents_out, spec)
                if has_aux:
                    return (primals_out_unflatten, tangents_out_unflatten, aux)
                return (primals_out_unflatten, tangents_out_unflatten)",False,has_aux,"not isinstance ( c , ( list , tuple ))",42.93
"def require_backend_is_available(backends):

    def check(backend):
        if <MASK>:
            return dist.is_gloo_available()
        if backend == dist.Backend.NCCL:
            return dist.is_nccl_available()
        if backend == dist.Backend.MPI:
            return dist.is_mpi_available()
        if backend == dist.Backend.UCC:
            return dist.is_ucc_available()
        if backend in DistTestCases.backend_feature['plugin']:
            return True
        return False
    if BACKEND not in backends:
        return skip_but_pass_in_sandcastle(f'Test requires backend {BACKEND} to be one of {backends}')
    if not check(dist.Backend(BACKEND)):
        return skip_but_pass_in_sandcastle(f'Test requires backend {BACKEND} to be available')
    return lambda func: func",False,backend == dist.Backend.GLOO,backend == ' cpu ',36.9
"def add_fields(self, form, index):
    """"""A hook for adding extra fields on to each form instance.""""""
    initial_form_count = self.initial_form_count()
    if <MASK>:
        if index is not None and index < initial_form_count:
            form.fields[ORDERING_FIELD_NAME] = IntegerField(label=_('Order'), initial=index + 1, required=False, widget=self.get_ordering_widget())
        else:
            form.fields[ORDERING_FIELD_NAME] = IntegerField(label=_('Order'), required=False, widget=self.get_ordering_widget())
    if self.can_delete and (self.can_delete_extra or (index is not None and index < initial_form_count)):
        form.fields[DELETION_FIELD_NAME] = BooleanField(label=_('Delete'), required=False, widget=self.get_deletion_widget())",False,self.can_order,self . index is not None,52.64
"def output_hash(self, user_settings, default_settings, **options):
    output = []
    for key in sorted(user_settings):
        if <MASK>:
            output.append('%s = %s  ###' % (key, user_settings[key]))
        elif user_settings[key] != default_settings[key]:
            output.append('%s = %s' % (key, user_settings[key]))
        elif options['all']:
            output.append('### %s = %s' % (key, user_settings[key]))
    return output",False,key not in default_settings,"isinstance ( key , str )",45.36
"def guess_path(package_root):
    if 'bazel-out' in sys.argv[0] and package_root in sys.argv[0]:
        package_root_base = sys.argv[0][:sys.argv[0].rfind(package_root)]
        binary = os.environ['TEST_TARGET'][2:].replace(':', '/', 1)
        possible_path = os.path.join(package_root_base, package_root, binary)
        logging.info('Guessed test binary path: %s', possible_path)
        if <MASK>:
            return possible_path
        return None",False,"os.access(possible_path, os.X_OK)",os . path . exists ( path ),68.17
"def __eq__(self, other):
    a = self()
    b = other()
    if <MASK>:
        return hash(a) == hash(b)
    return self is other",False,a is not None and b is not None,"isinstance ( other , str )",64.7
"def sample_inputs_sparse_elementwise_binary_operation(op_info, device, dtype, requires_grad, layout, **kwargs):
    """"""Sample inputs for elementwise binary operations on sparse tensors.

    The samples include regular, zero-sized, batched, and hybrid
    sparse tensors as well as rhs scalars. All tensors are full tensors.
    """"""

    def _to_sparse(tensor, **kwargs):
        return tensor.detach().to_sparse(**kwargs).requires_grad_(requires_grad)
    for sample_input in generate_elementwise_binary_tensors(op_info, device=device, dtype=dtype, requires_grad=requires_grad, exclude_zero=True, **kwargs):
        (lhs, rhs) = (sample_input.input, sample_input.args[0])
        min_dense_dim = 0
        max_dense_dim = lhs.ndim - 1
        if layout in {torch.sparse_csr, torch.sparse_csc, torch.sparse_bsr, torch.sparse_bsc}:
            if lhs.ndim < 2:
                continue
            max_dense_dim = lhs.ndim - 2
        for dense_dim in range(min_dense_dim, max_dense_dim + 1):
            if <MASK>:
                blocksizes = [(1, 1)]
                if lhs.numel() > 0:
                    blocksizes.append((lhs.shape[lhs.ndim - 2 - dense_dim], lhs.shape[lhs.ndim - 1 - dense_dim]))
            else:
                blocksizes = [None]
            for blocksize in blocksizes:
                to_sparse_kwargs = dict(layout=layout, dense_dim=dense_dim, blocksize=blocksize)
                lhs_sparse = _to_sparse(lhs, **to_sparse_kwargs)
                rhs_sparse = _to_sparse(rhs, **to_sparse_kwargs)
                yield SampleInput(lhs_sparse, args=(rhs_sparse, *sample_input.args[1:]), kwargs=sample_input.kwargs)
                yield SampleInput(lhs_sparse, args=(make_tensor((), dtype=dtype, device=device, requires_grad=requires_grad), *sample_input.args[1:]), kwargs=sample_input.kwargs)",False,"layout in {torch.sparse_bsr, torch.sparse_bsc}",layout is not None,42.82
"def forward_shape(self, shape):
    if len(shape) < len(self.in_shape):
        raise ValueError('Too few dimensions on input')
    cut = len(shape) - len(self.in_shape)
    if <MASK>:
        raise ValueError(f'Shape mismatch: expected {shape[cut:]} but got {self.in_shape}')
    return shape[:cut] + self.out_shape",False,shape[cut:] != self.in_shape,len ( shape ) != len ( self . shape ),67.19
"def gen_registration_headers(backend_index: BackendIndex, per_operator_headers: bool, rocm: bool) -> list[str]:
    if <MASK>:
        headers = ['#include <ATen/ops/as_strided_native.h>']
    else:
        headers = ['#include <ATen/NativeFunctions.h>']
    if backend_index.dispatch_key in (DispatchKey.CPU, DispatchKey.Meta):
        headers.append('#include <ATen/EmptyTensor.h>')
    elif backend_index.dispatch_key == DispatchKey.CUDA:
        if rocm:
            headers.append('#include <ATen/hip/EmptyTensor.h>')
        else:
            headers.append('#include <ATen/cuda/EmptyTensor.h>')
    elif backend_index.dispatch_key == DispatchKey.MPS:
        headers.append('#include <ATen/mps/EmptyTensor.h>')
    elif backend_index.dispatch_key == DispatchKey.XPU:
        headers.append('#include <ATen/xpu/EmptyTensor.h>')
    elif backend_index.dispatch_key == DispatchKey.MTIA:
        headers.append('#include <ATen/native/mtia/EmptyTensor.h>')
    elif per_operator_headers:
        headers += ['#include <ATen/ops/empty.h>', '#include <ATen/ops/empty_strided.h>', '#include <ATen/ops/_copy_from_and_resize.h>', '#include <ATen/ops/_copy_from.h>']
    else:
        headers.append('#include <ATen/Functions.h>')
    headers.append('#include <c10/macros/Macros.h>')
    return headers",False,per_operator_headers,/ / / / / / / / / / /,31.7
"def convert_placeholder_to_const(input_graph_def, nodes_to_convert=None):
    """"""Rename the PlaceHolderWithDefault node to constant

  In a frozen graph, PlaceholderWithDefault nodes can be converted to
  Constant op nodes with same value. This will help simplify the graph.

  Args:
    input_graph_def: A GraphDef containing a model.
    nodes_to_convert: A list of PlaceholderWithDefault or Placeholder nodes to
      be converted to Constants with their new value.

  Returns:
    modified graph with PlaceholderWithDefault node converted to Constant node
  """"""
    input_node_map = {}
    for node in input_graph_def.node:
        if node.name not in input_node_map:
            input_node_map[node.name] = node
        else:
            raise ValueError('Duplicate node names detected for ', node.name)
    dict_to_change = {}
    for key in PLACEHOLDER_WITH_DEFAULT_LIST:
        dict_to_change[key] = PLACEHOLDER_WITH_DEFAULT_LIST[key]
    if <MASK>:
        dict_list = parse_nodes_dict(nodes_to_convert)
        dict_to_change.update(dict_list)
    ph_node_list = []
    for ph_node in dict_to_change:
        if not ph_node and ph_node not in input_node_map:
            continue
        ph_node_list.append(ph_node)
    if not ph_node_list:
        tf_logging.warning('No PlaceholderWithDefault nodes found to convert to Constant. Maybe check the spellings')
        return input_graph_def
    result_graph_def = graph_pb2.GraphDef()
    for node in input_graph_def.node:
        is_replaced = False
        new_node = node_def_pb2.NodeDef()
        if node.op == 'PlaceholderWithDefault' or node.op == 'Placeholder':
            match_key = [find_key for find_key in dict_to_change.keys() if find_key in node.name]
            if len(match_key) > 0:
                if dtypes.bool.as_datatype_enum == node.attr['dtype'].type:
                    new_val_str = dict_to_change[match_key[0]]
                    new_node.op = 'Const'
                    new_node.name = node.name
                    new_node.attr['dtype'].CopyFrom(node.attr['dtype'])
                    new_node.attr['value'].CopyFrom(attr_value_pb2.AttrValue(tensor=tensor_util.make_tensor_proto(strtobool(new_val_str), dtype=dtypes.bool, shape=[])))
                    is_replaced = True
                else:
                    tf_logging.warning('Not converting to Const. Currently only bool             PlaceholderWithDefault or Placeholder can be converted to const.             current dtype = ', node.attr['dtype'])
        if not is_replaced:
            new_node.CopyFrom(node)
        result_graph_def.node.extend([new_node])
    return result_graph_def",False,nodes_to_convert is not None and len(nodes_to_convert) > 0,node . op == ' call_function ',55.91
"def _create_nodes_and_group(self, key: str) -> Node:
    """"""Create nodes from key and return group name.""""""
    assert self._handle is not None
    paths = key.split('/')
    path = '/'
    for p in paths:
        if not len(p):
            continue
        new_path = path
        if not path.endswith('/'):
            new_path += '/'
        new_path += p
        group = self.get_node(new_path)
        if <MASK>:
            group = self._handle.create_group(path, p)
        path = new_path
    return group",False,group is None,p is not None,47.51
"def schedule_fn(step: int) -> ProfilerAction:
    assert step >= 0
    if step < skip_first:
        return ProfilerAction.NONE
    else:
        step -= skip_first
    if skip_first_wait != 0:
        step += wait
    num_steps = wait + warmup + active
    if <MASK>:
        return ProfilerAction.NONE
    mod_step = step % num_steps
    if mod_step < wait:
        return ProfilerAction.NONE
    elif mod_step < wait + warmup:
        return ProfilerAction.WARMUP
    else:
        return ProfilerAction.RECORD if mod_step < num_steps - 1 else ProfilerAction.RECORD_AND_SAVE",False,repeat > 0 and step / num_steps >= repeat,step < 0,49.93
"def init_optimizer(self, name, device, params):
    if device == 'cuda' and self.args.training and (name not in CI_SKIP_OPTIMIZER):
        if <MASK>:
            self.optimizer = torch.optim.SGD(params, lr=0.01, foreach=True)
            self.optimizer.step = torch._dynamo.disable(self.optimizer.step)
        else:
            self.optimizer = torch.optim.Adam(params, lr=0.01, capturable=True, foreach=True)
    else:
        self.optimizer = None",False,name in CI_USE_SGD and self.args.ci or name in BENCHMARK_USE_SGD,"isinstance ( self . args [ 0 ], torch . Tensor )",49.33
"def fit_intercept_only(self, y_true, sample_weight=None):
    """"""Compute raw_prediction of an intercept-only model.

        This can be used as initial estimates of predictions, i.e. before the
        first iteration in fit.

        Parameters
        ----------
        y_true : array-like of shape (n_samples,)
            Observed, true target values.
        sample_weight : None or array of shape (n_samples,)
            Sample weights.

        Returns
        -------
        raw_prediction : numpy scalar or array of shape (n_classes,)
            Raw predictions of an intercept-only model.
        """"""
    y_pred = np.average(y_true, weights=sample_weight, axis=0)
    eps = 10 * np.finfo(y_pred.dtype).eps
    if self.interval_y_pred.low == -np.inf:
        a_min = None
    elif self.interval_y_pred.low_inclusive:
        a_min = self.interval_y_pred.low
    else:
        a_min = self.interval_y_pred.low + eps
    if <MASK>:
        a_max = None
    elif self.interval_y_pred.high_inclusive:
        a_max = self.interval_y_pred.high
    else:
        a_max = self.interval_y_pred.high - eps
    if a_min is None and a_max is None:
        return self.link.link(y_pred)
    else:
        return self.link.link(np.clip(y_pred, a_min, a_max))",False,self.interval_y_pred.high == np.inf,self . ndim == 1,48.74
"def _get_type_from_str(type_str: str) -> ir.TensorType | ir.SequenceType | ir.OptionalType:
    """"""Converter a type_str from ONNX Opschema to ir.TypeProtocol.

    A type str has the form of ""tensor(float)"" or composite type like ""seq(tensor(float))"".
    """"""
    striped = type_str.rstrip(')')
    type_parts = striped.split('(')
    dtype = ir.DataType[type_parts[-1].upper()]
    type_: ir.TypeProtocol = ir.TensorType(ir.DataType.UNDEFINED)
    for type_part in reversed(type_parts[:-1]):
        if type_part == 'tensor':
            type_ = ir.TensorType(dtype)
        elif type_part == 'seq':
            type_ = ir.SequenceType(type_)
        elif <MASK>:
            type_ = ir.OptionalType(type_)
        else:
            raise ValueError(f""Unknown type part: '{type_part}' in type '{type_str}'"")
    return type_",False,type_part == 'optional',type ( type ) == ' type ',45.37
